country,latitude,longitude,bcm,m_mscfd,year,field_type,field_name,field_operator,location,flare_level,flaring_vol_million_m3
Nigeria,4.316774,8.36674,0.133107777,12.87851288,2012,OIL,Adanga,Addax,OFFSHORE,Medium,133.1077773
Nigeria,4.35386,8.245211,0.043772772,4.235125967,2012,OIL,Akam,Addax,OFFSHORE,Small,43.77277168
Nigeria,4.271774,8.337887,0.067157917,6.497697723,2012,OIL,Ebughu,Addax,OFFSHORE,Medium,67.15791716
Nigeria,5.619424,6.815036,0.109629477,10.60692815,2012,OIL,Izombe,Addax,ONSHORE,Medium,109.6294768
Nigeria,4.221047,8.333957,0.028064393,2.715300702,2012,OIL,Mimbo,Addax,OFFSHORE,Small,28.06439255
Nigeria,4.243009,8.322505,0.025401314,2.457641173,2012,OIL,Mimbo,Addax,OFFSHORE,Small,25.40131433
Nigeria,3.854964,6.980177,0.1039003,10.05261581,2012,OIL,Okwori,Addax,OFFSHORE,Medium,103.9002996
Nigeria,4.453513,6.325799,0.013153893,1.272672292,2012,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,13.15389296
Nigeria,4.433297,6.324913,0.012164262,1.176923011,2012,OIL,Nembe Creek,Aiteo Eastern E&P Company,OFFSHORE,Small,12.16426209
Nigeria,4.441572,6.361473,0.013598996,1.31573715,2012,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,13.59899619
Nigeria,4.451806,6.283618,0.005353009,0.517917084,2012,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,5.35300873
Nigeria,4.420146,6.517679,0,0,2012,OIL,Odeama Creek,Aiteo Eastern E&P Company,ONSHORE,Small,0
Nigeria,4.540289,6.503308,0.016810328,1.626441621,2012,OIL,Santa Barbara,Aiteo Eastern E&P Company,ONSHORE,Small,16.81032826
Nigeria,4.349905,7.312247,0.06556689,6.343761813,2012,GAS,Ima Gas,Amni International,OFFSHORE,Medium,65.56688976
Nigeria,4.403847,7.828388,0.05503624,5.32489493,2012,OIL,Okoro,Amni International,OFFSHORE,Medium,55.03624019
Nigeria,5.597813,4.989237,0.049049482,4.745660995,2012,OIL,Ejulebe (OML 109),Atlas Petroleum International,OFFSHORE,Small,49.04948207
Nigeria,5.331271,5.208995,0.017981449,1.739750468,2012,OIL,Ajapa,Brittania-U Nigeria,OFFSHORE,Small,17.98144863
Nigeria,5.673479,5.274604,0.059016766,5.710020832,2012,OIL,Abiteye,Chevron,ONSHORE,Medium,59.01676599
Nigeria,3.465856,5.561246,0.100528386,9.726374686,2012,OIL,Agbami-Ekoli (OML 127),Chevron,OFFSHORE,Medium,100.5283861
Nigeria,5.860803,5.133084,0.111757254,10.81279597,2012,OIL,Benin River,Chevron,ONSHORE,Medium,111.7572542
Nigeria,5.686002,5.053255,0.133088555,12.87665306,2012,OIL,Delta,Chevron,OFFSHORE,Medium,133.0885548
Nigeria,5.600608,5.109032,0.059323734,5.739720734,2012,OIL,Delta South,Chevron,OFFSHORE,Medium,59.32373373
Nigeria,5.817179,5.200836,0.126998587,12.28743332,2012,OIL,Dibi,Chevron,ONSHORE,Medium,126.9985869
Nigeria,5.870053,4.939616,0.082073651,7.940832576,2012,OIL,Ewan,Chevron,OFFSHORE,Medium,82.07365117
Nigeria,4.326663,5.821515,0.086432711,8.362582635,2012,OIL,Funiwa,Chevron,OFFSHORE,Medium,86.43271137
Nigeria,5.783992,5.428424,0.064862461,6.275606545,2012,OIL,Makaraba,Chevron,ONSHORE,Medium,64.8624609
Nigeria,5.828326,4.797094,0.030495086,2.950476432,2012,OIL,Malu,Chevron,OFFSHORE,Small,30.49508614
Nigeria,5.436448,5.140352,0.069262036,6.701276534,2012,OIL,Meji,Chevron,OFFSHORE,Medium,69.26203611
Nigeria,5.777357,4.889021,0.0347258,3.3598086130000002,2012,OIL,Meren,Chevron,OFFSHORE,Small,34.72579952
Nigeria,5.758847,4.923832,0.037817361,3.658924971,2012,OIL,Meren,Chevron,OFFSHORE,Small,37.81736094
Nigeria,4.36727,5.791606,0.008515871,0.823931946,2012,OIL,North Apoi,Chevron,OFFSHORE,Small,8.515870653
Nigeria,5.55965,5.072566,0.133777014,12.94326325,2012,OIL,Okan,Chevron,OFFSHORE,Medium,133.7770143
Nigeria,5.574158,5.058795,0.033137729,3.206158828,2012,OIL,Okan,Chevron,OFFSHORE,Small,33.13772942
Nigeria,5.537961,5.091546,0.024664385,2.386341378,2012,OIL,Okan,Chevron,OFFSHORE,Small,24.66438474
Nigeria,5.738643,4.725901,0.058940172,5.702610162,2012,OIL,Opolo,Chevron,OFFSHORE,Medium,58.94017192
Nigeria,5.916131,5.01622,0.075311785,7.286604957,2012,OIL,Opuekeba,Chevron,ONSHORE,Medium,75.31178472
Nigeria,5.88147,4.834434,0.148886156,14.40511076,2012,OIL,Parabe,Chevron,OFFSHORE,Medium,148.8861557
Nigeria,5.717819,5.004647,0.047907964,4.635216271,2012,OIL,Tapa,Chevron,OFFSHORE,Small,47.90796427
Nigeria,4.337989,5.925766,0.069695281,6.743194026,2012,OIL,Otuo,ConOil,OFFSHORE,Medium,69.69528056
Nigeria,6.153596,5.342703,0.04464902,4.319905169,2012,OIL,Gilli Gilli,Dubri Oil,ONSHORE,Small,44.64901967
Nigeria,5.684999,6.359476,0.029809288,2.88412376,2012,OIL,Ebendo,Energia,ONSHORE,Small,29.80928827
Nigeria,5.708656,4.480765,0.094223718,9.116382182,2012,OIL,Abo,Eni,OFFSHORE,Medium,94.22371822
Nigeria,3.940647,6.397746,0.105501973,10.207581770000001,2012,OIL,Agbara,Eni,OFFSHORE,Medium,105.5019732
Nigeria,5.634528,6.669413,0.251017398,24.28656586,2012,OIL,Akri,Eni,ONSHORE,Medium,251.0173984
Nigeria,5.686671,6.591909,0,0,2012,OIL,Beniku,Eni,ONSHORE,Small,0
Nigeria,4.851438,5.69192,0.045676386,4.41930542,2012,OIL,Clough Creek,Eni,ONSHORE,Small,45.67638569
Nigeria,5.488513,6.243742,0.048384385,4.681311206,2012,GAS,Irri,Eni,ONSHORE,Small,48.3843853
Nigeria,5.659787,6.516926,0.117756729,11.39326025,2012,OIL,Kwale,Eni,ONSHORE,Medium,117.7567287
Nigeria,5.459827,6.694868,0.121910257,11.79512454,2012,OIL,M'Bede,Eni,ONSHORE,Medium,121.9102566
Nigeria,4.628705,6.263604,0.132764435,12.84529363,2012,OIL,Obama,Eni,ONSHORE,Medium,132.7644347
Nigeria,5.386461,6.657315,0.140883998,13.6308818,2012,OIL,Obiafu-Obrikom,Eni,ONSHORE,Medium,140.8839976
Nigeria,4.813912,5.961619,0.071888119,6.955356624,2012,OIL,Ogbainbiri,Eni,ONSHORE,Medium,71.88811851
Nigeria,5.099876,6.506743,0.10219305,9.887435139,2012,OIL,Oshi,Eni,ONSHORE,Medium,102.1930503
Nigeria,4.753029,6.02998,0.008191159,0.792515286,2012,OIL,Osiama Creek South,Eni,ONSHORE,Small,8.191159113
Nigeria,4.556357,5.921292,0.067629607,6.543334856,2012,OIL,Tebidaba,Eni,ONSHORE,Medium,67.62960651
Nigeria,5.386699,4.589897,0.153318557,14.83395675,2012,OIL,Oyo NW,Erin Energy,OFFSHORE,Medium,153.3185569
Nigeria,4.653398,7.059697,0.008014106,0.775384909,2012,OIL,Alakiri,Eroton E&P Company,ONSHORE,Small,8.014105562
Nigeria,4.556519,7.004341,0.0624496,6.042156157,2012,OIL,Cawthorne Channel,Eroton E&P Company,OFFSHORE,Medium,62.44959983
